molecule_chembl_id,bioactivity_class,standard_value,canonical_smiles,Molecular_Weight,LogP,HBD,HBA,pIC50
CHEMBL498456,inactive,4770.0,COC1Oc2cc(O)ccc2-c2c1oc1cc(O)c(C)c(O)c1c2=O,342.3030000000001,2.9226200000000015,3,7,5.321481620959886
CHEMBL3287407,inactive,62210.0,COc1cc2c(c(O)c1C)C(=O)[C@@]1(O)c3cccc(OC)c3OC[C@@H]1O2,358.3460000000002,1.94172,2,7,4.206139798657331
CHEMBL3287408,inactive,3000000.0,COc1cc2oc3c(c(=O)c2c(O)c1C)-c1ccccc1OC3OC,340.3310000000001,3.5200200000000015,1,6,2.5228787452803374
CHEMBL3287409,inactive,4240.0,COc1cc2oc3c(c(=O)c2c(O)c1C)-c1ccc(O)cc1OC3O,342.30300000000005,2.571520000000001,3,7,5.372634143407267
CHEMBL6246,inactive,3900.0,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,302.194,1.3127999999999997,4,8,5.4089353929735005
CHEMBL506814,intermediate,410.0,O=C1O[C@@H]2[C@@H](OC(=O)c3cc(O)c(O)c(O)c3-c3c1cc(O)c(O)c3O)[C@H](O)O[C@@H]1COC(=O)c3cc(O)c(O)c(O)c3-c3c(O)c(O)c4oc(=O)c5c(c(O)c(O)c6oc(=O)c3c4c65)-c3c(cc(O)c(O)c3O)C(=O)O[C@@H]21,1084.7220000000002,1.9586000000000052,17,30,6.3872161432802645
CHEMBL450745,inactive,3100.0,O=C(O[C@@H]1O[C@@H]2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@H]2[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,938.6650000000005,1.6665000000000012,15,26,5.508638306165727
CHEMBL382408,inactive,3760.0,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,940.6810000000005,1.6861000000000008,15,26,5.424812155072339
CHEMBL2397757,inactive,180000.0,C=C[C@H](c1ccccc1O)c1cc(O)c(OC)cc1OC,286.327,3.4329000000000027,2,4,3.744727494896694
CHEMBL3326698,inactive,40100.0,O=C(NCCCCCNc1c2c(nc3ccccc13)CCCC2)c1cc2ccccc2oc1=O,455.55800000000033,5.232200000000004,2,5,4.396855627379818
CHEMBL3326704,inactive,17200.0,O=C(NCCCCCCNc1c2c(nc3ccccc13)CCCC2)c1cc2ccccc2oc1=O,469.5850000000004,5.622300000000005,2,5,4.764471553092451
CHEMBL3326707,inactive,100000.0,Cc1ccc2oc(=O)c(C(=O)NCCCCCCNc3c4c(nc5ccccc35)CCCC4)cc2c1,483.61200000000025,5.930720000000005,2,5,4.0
